Наименование_вакансии;Ссылка_на_вакансию;Опыт_работы;Ключевые_навыки;Зарплата
Data Scientist Mail.ru Group, Другое;https://hh.ru/vacancy/48105156?query=data%20scientist;1–3 года;['Hadoop', 'Spark', 'Python', 'SQL'];з/п не указана
Data Scientist в Fintech-компанию РобоФинанс;https://hh.ru/vacancy/48073622?query=data%20scientist;3–6 лет;['Python', 'SQL', 'Machine Learning', 'Математическая статистика', 'Data Analysis', 'кредитные риски'];з/п не указана
Senior Data Scientist / Computer Vision Engineer ZennoLab;https://hh.ru/vacancy/47622649?query=data%20scientist;3–6 лет;['Python', 'PyTorch', 'Tensorflow', 'Английский язык', 'Deep Learning', 'Computer Vision', 'Machine learning'];от 180000 до 250000 руб. на руки
Data Scientist в области рекомендательных систем Сбер. IT;https://hh.ru/vacancy/47342740?query=data%20scientist;3–6 лет;['DS', 'ML', 'Python'];з/п не указана
Главный аналитик-математик/Data Scientist Связной. IT/Digital;https://hh.ru/vacancy/47127591?query=data%20scientist;3–6 лет;['Data Mining', 'Python', 'Управление проектами', 'Data Analysis', 'C++', 'Machine Learning', 'R', 'Математическая статистика', 'Математический анализ', 'Математическое моделирование'];з/п не указана
Data scientist Аналитик базы данных / Разработчик Python Biglion;https://hh.ru/vacancy/47735068?query=data%20scientist;1–3 года;['Python', 'JavaScript', 'MS SQL', 'SQL', 'Numpy', 'Pandas', 'Matplotlib', 'sklearn.linear_model', 'Аналитика продаж', 'MySQL', 'TensorFlow', 'PyCharm', 'Конкурентная аналитика', 'Базы данных', 'MS Excel', 'Data Mining', 'Data Analysis', 'Data Mining: ACNielsen', 'Data Mining: Business Analytica'];з/п не указана
Data Scientist/Data Analyst «РОСБАНК, Societe Generale Group»;https://hh.ru/vacancy/47586416?query=data%20scientist;3–6 лет;['Английский\xa0— C1 — Продвинутый', 'Python', 'Английский язык', 'Pandas', 'SQL', 'sklearn'];з/п не указана
"Data Scientist (блок ""Сети продаж"") Билайн";https://hh.ru/vacancy/47434074?query=data%20scientist;1–3 года;['ML', 'Machine Learning', 'Машинное обучение', 'Data Science', 'Python', 'SQL', 'Hadoop', 'Spark', 'Big Data', 'Деловая коммуникация', 'Английский язык', 'Математическая статистика'];з/п не указана
Data scientist (PBA/QA) Hyper AdTech;https://hh.ru/vacancy/47818052?query=data%20scientist;3–6 лет;['Python', 'SQL', 'ClickHouse', 'R', 'Статистический анализ', 'Grafana', 'A/B тесты', 'Визуализация данных', 'Математическая статистика', 'Аналитика', 'Business intelligence'];з/п не указана
Data scientist (Управление рисками корпоративных клиентов) Сбер для экспертов;https://hh.ru/vacancy/48127695?query=data%20scientist;3–6 лет;[];з/п не указана
Data scientist (Прогнозирование спроса) ПАО Первая Грузовая Компания;https://hh.ru/vacancy/48105131?query=data%20scientist;1–3 года;['Python', 'Git', 'SQL', 'ООП', 'Бизнес-анализ'];з/п не указана
Data Scientist в команду «Матчинг» Профи (profi.ru);https://hh.ru/vacancy/46859374?query=data%20scientist;1–3 года;['Python', 'SQL', 'Математическая статистика', 'Data Science'];з/п не указана
Data Scientist, автоматический матчинг Ozon Информационные технологии;https://hh.ru/vacancy/48109855?query=data%20scientist;1–3 года;['Data Analysis', 'Machine Learning'];з/п не указана
Data Scientist PRIDEX Group;https://hh.ru/vacancy/48093078?query=data%20scientist;1–3 года;['Python', 'Анализ данных', 'Аналитическое мышление', 'Big Data', 'Tableau'];з/п не указана
Data Scientist, Поиск / Товарные рекомендации Ozon Информационные технологии;https://hh.ru/vacancy/43852580?query=data%20scientist;3–6 лет;['Python', 'pytorch', 'hadoop', 'data science', 'Разработка поисковых технологий', 'IT'];з/п не указана
Data Scientist SegmentStream;https://hh.ru/vacancy/48090936?query=data%20scientist;3–6 лет;['Marketing Analysis', 'Python', 'Data Mining', 'SQL', 'Английский язык'];от 200000 до 300000 руб. на руки
Data Scientist Kelly Services;https://hh.ru/vacancy/48106853?query=data%20scientist;3–6 лет;[];от 200000 руб. до вычета налогов
Senior Data Scientist NER (в Анапу) Digital Kitchen (ООО Цифровая кухня);https://hh.ru/vacancy/47437715?query=data%20scientist;3–6 лет;['Data Science', 'Python', 'NER', 'NLP'];от 150000 до 250000 руб. на руки
Старший специалист по интеллектуальному анализу данных (Data Scientist) Альфа-Банк;https://hh.ru/vacancy/46795855?query=data%20scientist;1–3 года;['Python', 'SQL', 'Математическое моделирование', 'Анализ данных', 'Математическая статистика', 'Математический анализ', 'Моделирование'];з/п не указана
ML Engineer/Data Scientist Газарова Екатерина;https://hh.ru/vacancy/48164825?query=data%20scientist;не требуется;['Python', 'Английский язык', 'Data Analysis', 'Deep Learning', 'C++', 'ML', 'Research And Development', 'Mathematical Analysis', '3D'];от 160000 до 220000 руб. на руки
Data Scientist Московский Кредитный Банк;https://hh.ru/vacancy/48110295?query=data%20scientist;1–3 года;['Python', 'SQL', 'MS SQL', 'MATLAB'];з/п не указана
Middle Data Scientist Альфа-Банк. Digital & IT;https://hh.ru/vacancy/46544796?query=data%20scientist;1–3 года;['Python', 'Spark', 'Hadoop', 'SQL', 'Big Data'];з/п не указана
Lead Data Scientist Экспириенс;https://hh.ru/vacancy/48102976?query=data%20scientist;1–3 года;['Python', 'Data Mining', 'Machine Learning', 'SQL', 'Data Analysis'];до 350000 руб. до вычета налогов
